author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
Albertobetox,Falla and Mac de apple,"The Apple IMac fails a lot, the app is very slow and with lags I am actually about to cancel my subscription",Falla en Mac de apple,Falla mucho en IMac de Apple muy lenta la app y con lags de hecho estoy por cancelar mi suscripción,1.00,MX,,2020-07-16T19:21:09,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LjX5mF3TOK3GKbTivdJq8yQ,"es;an;ca;gl;oc"
The Hexagram,i cannot sign in,"i've subscribed with monthly plan, i usually use excel from my macbook but when i want to use it from my ipad it always asks to sign-in. i've entered my email and password, even changed it (in case i forgot), but still not working.
please help.",i cannot sign in,"i've subscribed with monthly plan, i usually use excel from my macbook but when i want to use it from my ipad it always asks to sign-in. i've entered my email and password, even changed it (in case i forgot), but still not working.
please help.",1.00,ID,2.39,2020-07-16T11:59:52,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LuSeJ0OK4N42_y2toxM6Shw,en
Aziz Sid,Can’t open excel file in iPhone,Very much unsatisfied,Can’t open excel file in iPhone,Very much unsatisfied,1.00,HK,2.39,2020-07-16T11:09:33,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LJorCMH-IksQoowrASHo_2Q,"en;la;ro;de;oc"
Opie181991,Always having trouble,"Couldn’t log in because I was locked out, and when you make anything it won’t let you open saying something went wrong. Just a waste of time",Always having trouble,"Couldn’t log in because I was locked out, and when you make anything it won’t let you open saying something went wrong. Just a waste of time",1.00,US,2.39,2020-07-16T09:52:26,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LUVw4qBaYJFgdF6aAvPT_Cw,en
bkk solo traveller,Can’t cancel monthly charge,"Need to stop charging, how",Can’t cancel monthly charge,"Need to stop charging, how",1.00,HK,2.39,2020-07-15T19:35:13,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LRJyO8dkaazFZ04LVzeQWfw,en
Frayn 01,Premium is not activated,I have a family subscription and when I give the option to become premium it does not activate and does not allow me to create and edit files only read and with the iPhone application I do not have the same problem,No se activa premium,Tengo una suscripción familiar y cuando doy la opción de hacerse premium no se activa y no me deja crear y ni editar archivos solo lectura y con la aplicación de iPhone no tengo el mismo problema,1.00,MX,2.39,2020-07-15T16:50:24,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LH_gzb6rUtDC0w5gDdXKWFA,"es;ca;gl"
TCRivera,Won’t download,"I’ve been trying to download into my iPhone for two days. On WiFi and off WiFi. For some reason, it will not download.",Won’t download,"I’ve been trying to download into my iPhone for two days. On WiFi and off WiFi. For some reason, it will not download.",1.00,US,2.39,2020-07-15T14:04:35,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LD30Z7De0xOebdXgARmf7GA,en
知名网络暴力扛把子,"38 a month, the most basic editing function is purchased?","Is everyone so rich? ? After seeing so many positive reviews, it took half an hour to register, and then I realized that the fees are so expensive. Could you please tell me in advance? Wasting my time, slipping away",38一个月，购买了才有最基础的编辑功能？,大家都这么有钱吗？？看到这么多好评，花了半个小时注册，才发现收费这么昂贵，麻烦提前告知好吗？浪费我时间，溜了,1.00,CN,2.39,2020-07-15T06:58:00,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L0zLOCAcR9LdRkuJfc9p2ug,zh
andresplascencia,Macros for when?,For when will they have the version to use excel with macros?,¿Las macros para cuando?,¿Para cuando tendrán la versión para utilizar el excel con macros?,1.00,MX,2.39,2020-07-15T03:30:03,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L6HxN8qNtDy2UP6KyVLoO_g,"es;gl"
Канил,Doesn't work in two windows,Doesn't work in two windows,Не работает в двух окнах,Не работает в двух окнах,1.00,RU,2.39,2020-07-14T14:04:34,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L_AKwuLQ5fl8pHeC2yQShqg,ru
