author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
dons311,Excel,So Helpful,Excel,So Helpful,5.00,ID,,2020-07-17T01:51:01,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LsaRASP1Du0G3zaKJsSr6rQ,"an;en;la;br;da"
LeoBlack_Aviador,Hi,Ok,Oi,Ok,5.00,BR,,2020-07-16T21:49:34,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LtYVEKq1krGJxoDcxHJE-5Q,"bs;sh;az;cs;hr"
pelo jilote,Is incredible,It is a fabulous and powerful tool,Es increíble,Es una herramienta fabulosa y poderosa,5.00,HN,2.39,2020-07-16T13:36:15,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LQjWG9bugHoKHaE6ahvVd9g,"es;an;ca;gl"
SieuNhanDqd,Very good,Very good sd app.,Rất tốt,App sd rất tốt.,5.00,VN,2.39,2020-07-16T12:29:08,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LWUNLuqdUzRy2-OQUiE_TKg,vi
Sanaydee,Wow what amazing business tool,It is a great application to be used for business activities that really makes the difference for business success. I strongly recommend this tool for any business firms even small one.,Wow what amazing business tool,It is a great application to be used for business activities that really makes the difference for business success. I strongly recommend this tool for any business firms even small one.,5.00,SA,2.39,2020-07-16T08:29:28,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LvEkfE82lgykhkNFkU8cR8w,en
domilif,Mega geil,Simply practical,Mega geil,Einfach praktisch,5.00,DE,2.39,2020-07-16T05:26:01,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LXPD3j1yjr_2kirKcngLeDQ,de
johnboy playz,Re,Good work 👍🏻,Re,Good work 👍🏻,5.00,GB,2.39,2020-07-15T17:21:06,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LWzgn6ck6b8x9wH2K2AvCaQ,"af;en;nl"
Nevzat1978,5s,Working 👏🏻👏🏻👏🏻👏🏻👏🏻,5s,Çalışıyor 👏🏻👏🏻👏🏻👏🏻👏🏻,5.00,TR,2.39,2020-07-15T04:14:15,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LytbrZHfMRQ6k2amqXhw_Qw,"tr;az"
任血啸,root,it is good! very good,根,好！非常好,5.00,CN,2.39,2020-07-15T01:05:08,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LbI7yCj55s3Ls3mgHVcEN6g,"zh_yue;zh"
!?KyL3?!,Love use it everyday,I literally use this app everyday for my budget,Love use it everyday,I literally use this app everyday for my budget,5.00,US,2.39,2020-07-14T19:02:01,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LyrOPC52bJR2goE9QXgiJug,en
Sergei Fox,Wow!,Excellent!,Wow!,Excelente!,5.00,MX,2.39,2020-07-14T16:49:25,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LMCoVdS1lXPnrO3xYsbe6ow,"en;nl;es;ro;de"
J. George,Easy to use,"Easy to view and edit files. On many occasions, for small changes, I do not need to turn on my pc.
It helps me a lot.",Easy to use,"Easy to view and edit files. On many occasions, for small changes, I do not need to turn on my pc.
It helps me a lot.",5.00,RO,2.39,2020-07-14T15:11:57,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LmCnF1bPj2g_lqaZBcLiXTw,en
chei3,pier,Good,Chei,Bueno,5.00,PE,2.39,2020-07-14T13:58:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LrBApqhMhTIhtdabEzDVrWA,"de;lb;af;an;roa_rup"
BrunoDiza,Top,Loved it,Top,Amei,5.00,BR,2.39,2020-07-14T04:31:02,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lsicwp6ENsgx7PmiH6n7FwA,"nl;lb;af;en"
primer oficial,Excellent program,Very useful,Exelente programa,Muy útil,5.00,MX,2.39,2020-07-14T03:28:46,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LQ3bBLneFFSt2T5-AMN565Q,"es;gl;pt;an;ca"
Steven Zyler,👍👍,"⭐️⭐️⭐️⭐️⭐️
However, the prominent placement of the diamond icon (💎 in the upper right corner, used to activate a Microsoft 365 subscription) seems kind of obnoxious 😐",👍👍,"⭐️⭐️⭐️⭐️⭐️
However, the prominent placement of the diamond icon (💎 in the upper right corner, used to activate a Microsoft 365 subscription) seems kind of obnoxious 😐",5.00,US,2.39,2020-07-14T02:34:35,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L5C_s9cWwOEmyAYokXarDcg,en
te con be,Thank,I use exel to record timesheets. Collections for etc. vv very convenient. Thank you,Thank,Tôi dùng exel để ghi chép bảng chấm công. Thu cho các khoản vvv rất tiện ích. Thank,5.00,VN,2.39,2020-07-14T02:33:43,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lm8VQ_a3EDUTjdxDuzGU6kg,vi
brodin1,Very satisfied,Easy of use. Reliable,Very satisfied,Easy of use. Reliable,5.00,US,2.39,2020-07-13T23:38:57,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L8Hff7HHEuefJa5oW0RSZ-Q,"en;af"
Earlmmaclean,Great,Best spreadsheet of them all,Great,Best spreadsheet of them all,5.00,CA,2.39,2020-07-13T20:38:57,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L3TEfHRf5DdiMyp73KM2APA,en
Robert Ho 2012,Excel app,Easy to use and handy. I like it,Excel app,Easy to use and handy. I like it,5.00,US,2.39,2020-07-13T19:34:51,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LMHswoeAPFW-PRSMG_gN5RQ,"en;nn;af;no;da"
Tikky - SSAA,Great,Great,Great,Great,5.00,GB,2.39,2020-07-13T18:17:45,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LXC4zhUPexAZsiRiQSXdG4g,"en;la;roa_rup;lb;ro"
Oscarcelis,"Great app, always online and ready to be used","Great app, always online and ready to be used","Great app, always online and ready to be used","Great app, always online and ready to be used",5.00,CL,2.39,2020-07-13T13:17:27,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L_T6OO1B0YTb3cpvAeT-zzw,en
Egg54,Excellent,Very useful for working on mobile!,Excelente,Muy útil para trabajar en el móvil!!!,5.00,ES,2.39,2020-07-13T04:37:45,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L_vsA0nujQqHbrm-WsR3YRw,"es;ca;gl"
GamerBoy4000,Nice👍,Nice app very useful and easy to use,Nice👍,Nice app very useful and easy to use,5.00,AE,2.38,2020-07-12T11:33:12,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LfrdnBOX0Dg2nUfZxaFUDXw,en
Tau-Mari-u,Very helpful tool! 😊,This is very helpful since my information are organized. Thank you...,Very helpful tool! 😊,This is very helpful since my information are organized. Thank you...,5.00,PH,2.38,2020-07-12T10:05:00,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LtL_kfgKo3OZt6ZEB1ZPH6w,en
Alipali-john,Works a treat on the iPad,I love switching between my iPad and iMac using Excel.,Works a treat on the iPad,I love switching between my iPad and iMac using Excel.,5.00,GB,2.38,2020-07-12T08:39:47,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lca-GyDqD4HVgiO0iAqfH_g,en
AMcginny,Fantastic,Fantastic application,Fantastic,Fantastic application,5.00,GB,2.38,2020-07-12T05:45:13,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LjBW35ypvtD18-eJUIwuU_Q,"la;en;fr;oc"
LEGUC,Excellent worksheet,Good working tool,Excelente planilla,Buena herramienta de trabajo,5.00,CL,2.38,2020-07-11T13:49:25,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Lmg3YLYyA1JHUVjAdjuIHfg,"es;an;ca;gl;oc"
Sabájunior,Very good!,Excellent tool to have the hand.,Muito bom!,Excelente ferramenta para ter a mão.,5.00,BR,2.38,2020-07-11T12:44:26,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L2GINy8DH6QQkGWz9dvm5dg,"pt;gl;es"
jaecajasan,Excellent...I love it👍,I enjoyed using it👍👍👍,Excellent...I love it👍,I enjoyed using it👍👍👍,5.00,US,2.38,2020-07-11T07:55:45,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LIckGEybjXCyiL55ukw2SQg,"en;da;nn;no;sv"
Cockyblizzad,Good for what it is,Gets the job done.,Good for what it is,Gets the job done.,5.00,AU,2.38,2020-07-11T01:11:16,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LtGihFB6Wd7bKrGJbhWNvug,en
'wcant afford to keep the cat',Excel on phone,"Luckily excel on phone still functions although my MacBook suddenly has server issues as I got ill from work. 
I really need grid and multiple sheets to sort my thoughts every now and then - mostly in regards finance.",Excel on phone,"Luckily excel on phone still functions although my MacBook suddenly has server issues as I got ill from work. 
I really need grid and multiple sheets to sort my thoughts every now and then - mostly in regards finance.",5.00,SE,2.38,2020-07-10T20:17:49,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LRW1gf-u61SySKRg_Ww4J5Q,en
任血啸,very useful,Basically similar to computer win7,很好用,基本和电脑win7差不多,5.00,CN,2.38,2020-07-10T08:06:24,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LKFQujKLJOkk36gTuJ4-DWQ,"zh;zh_yue"
Frankendork,Very powerful,Work in the high tech industry use it organized manuals and procedures for all my tool sets.,Very powerful,Work in the high tech industry use it organized manuals and procedures for all my tool sets.,5.00,US,2.38,2020-07-09T19:07:01,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LADQ_dLebJX6576eGQydOGQ,en
CareyMelvin,Microsoft Excel,Great appG tool on your smartphone,Microsoft Excel,Great appG tool on your smartphone,5.00,US,2.38,2020-07-09T14:57:23,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L9u2oZ8gZpz0WqjZCuutQ3g,"en;fr;la;br;es"
Binh1541998,Great app,Is a free application with the same functionality as the desktop version. There is nothing more than "great",Ứng dụng tuyệt vời,Là một ứng dụng miễn phí với các chức năng giống như phiên bản trên máy tính. Không còn từ gì hơn ngoài “ tuyệt vời”,5.00,VN,2.38,2020-07-09T11:10:46,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LLUM4eImsAEvpz-AsB9y9Sg,vi
al6erali,Excellent,Good,Excellent,Good,5.00,SA,2.38,2020-07-09T08:57:51,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LlsqOXIKnP1wnb559yyrtKQ,"lb;br;fr;ca;cy"
Val Cec,Review,It’s easy to use. So satisfied with this app. Thank you. 😊,Review,It’s easy to use. So satisfied with this app. Thank you. 😊,5.00,PH,2.38,2020-07-09T04:24:04,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LJQfIV3y1dO4EDDmX_ejX5A,en
夹古真央,Long live Microsoft Long live Microsoft,Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft Long Live Microsoft,Microsoft 万岁 Microsoft 万岁,Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁Microsoft 万岁 Microsoft 万岁,5.00,CN,2.38,2020-07-09T01:15:45,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LfS7l-xw2jr5VJC_8JCksiQ,"de;lb;en;an;cy"
sáoaosoaosodosos,Are spending delicious and start logging anything,Bored,Đang xài ngon mà bắt đăng nhập cái gì đâu ko,Chán,5.00,VN,2.38,2020-07-08T02:04:46,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L_Rluxa-tE8ykKjiDBPbg8g,vi
norepse,Commentary,I wish it had more statistical applications,Comentario,Me gustaría que tuviera más aplicaciones estadísticas,5.00,MX,2.38,2020-07-07T23:03:59,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382Ln0HxAKUJB14b4HOnT2_04Q,"es;gl"
Asmbkbd,Not good,"I just bought this thing in my new MacBook
Pro but it’s working 😳😔🤔😡😡😡🥵🤬🤬🤬🤬🤬🤬🤬😰😡😰😡😡😡😡🤬🤬🤬🤬🤯🤬👎",Not good,"I just bought this thing in my new MacBook
Pro but it’s working 😳😔🤔😡😡😡🥵🤬🤬🤬🤬🤬🤬🤬😰😡😰😡😡😡😡🤬🤬🤬🤬🤯🤬👎",5.00,US,2.38,2020-07-07T10:13:04,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LNPsYZvseh2dc0LGpNebsvg,en
Shadow_lover,Easy to use,"Last time I downloaded a cheater software ""excel form mobile version"" somehow was deducted, in contrast, this is still a good conscience!",好用,上次下载了个骗子软件“excel表格手机版”莫名其妙被扣费，对比之下这个还是良心好用！,5.00,CN,2.38,2020-07-07T08:49:28,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LKeDv1qUj8eYyrDJ-8dHcfQ,zh
mlbl28,Oatley if you send,Fantastic,Oatley if you send,Fantastic,5.00,ES,2.38,2020-07-06T05:34:58,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LQmX598kwn7xB4foOEBT-dA,"en;an;es;oc;af"
Tom&Jerry Ministries,Excel,This is an awesome program. Are use it weekly in my line of business. Would be lost without it.,Excel,This is an awesome program. Are use it weekly in my line of business. Would be lost without it.,5.00,US,2.38,2020-07-06T02:21:37,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L6Blykt5lFh-qgQoGZURBOw,en
