author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
Nenekdnenamdnbwbdd,Has digitized table from photo been removed?,"Hello, a while ago I had this option and now I don't know how to find it or it doesn't exist.
I have an iphone 6s",¿Se ha quitado digitalizar tabla desde foto?,"Hola hace un tiempo tenía esta opción y ahora o no la sé encontrar o no existe.
Tengo un iphone 6s",3.00,ES,2.39,2020-07-16T15:41:00,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LEl6Rv96Z3IwfYqs31PVf6Q,"es;gl;an"
Asturopea,Unable to run macros on iPad Pro 10.5.,Unable to run macros on iPad Pro 10.5. Slow. Difficult to navigate multiple tabs or do quick search. Overall slow in performance,Unable to run macros on iPad Pro 10.5.,Unable to run macros on iPad Pro 10.5. Slow. Difficult to navigate multiple tabs or do quick search. Overall slow in performance,3.00,US,2.39,2020-07-16T01:04:26,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LPR_r6ZzJKwHboqt0vm-ZIw,"en;la;es;gl;an"
hnhnzzzzz,Hangul is not good. Fix it!,I can't write the Hangul base and go to the side. Please fix it.,한글 받침이 잘 안돼요 고쳐주세요!,한글 받침이 안 적히고 옆으로 넘어가요 고쳐주세요.. 그게 너무 불편해요..,3.00,KR,2.39,2020-07-14T05:34:18,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L33otjiGFMMRfGYo-dR_3rg,ko
Proudsky,Unable to swipe to the right causes content on the right to not be edit,Unable to swipe to the right causes content on the right to not be edit,無法往右側滑動造成右邊內容無法編輯,無法往右側滑動造成右邊內容無法編輯,3.00,TW,2.39,2020-07-14T02:31:05,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LA1R0-r5dJe9qWNTiZjKPXw,"zh_classical;zh_yue;zh"
sum700,Difference with PC,There are many differences from the operation on a PC and it takes a very long time.,PCとの差,PCでの操作と違う点が多く、非常に時間がかかる,3.00,JP,2.39,2020-07-13T10:00:22,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L1SoYfCpj3-NoQnAUKaWugA,ja
ㄱㅈㅅㅇ,Add formula,I wish DATEDIF was born.,수식 추가,DATEDIF 가 생겼으면 좋겠습니다.,3.00,KR,2.38,2020-07-12T10:18:53,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LSvwE7IPdyvIoxWi70eWHOg,ko
TimONoff,Lack of functionality,"Dear developers,
Thank you very much for supporting Excel for iPad — the number of people who want to replace their laptops with iPad is increasing, and you support this small but fast growing group!
However, it would be great if you can add 2 minor but important things:
1) Editing waterfall charts. Now I cannot set a column as total
2) Mode of calculation. Now I cannot choose between manual and automatic calculation
Kind regards",Lack of functionality,"Dear developers,
Thank you very much for supporting Excel for iPad — the number of people who want to replace their laptops with iPad is increasing, and you support this small but fast growing group!
However, it would be great if you can add 2 minor but important things:
1) Editing waterfall charts. Now I cannot set a column as total
2) Mode of calculation. Now I cannot choose between manual and automatic calculation
Kind regards",3.00,RU,2.38,2020-07-11T08:39:45,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LCo808T18TFFbYaYIZd-4Uw,en
Syed Junaid Ahmad,Is it free ?,Is it free or chargeable?,Is it free ?,Is it free or chargeable?,3.00,IN,2.38,2020-07-10T19:28:56,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382LlGQ4YAVabBkjwhlqYG82Sg,en
фћ,It's time to update (it's time),"It constantly bothers me to work:
1. settings on the View tab after closing are not saved;
2. the settings on the Drawing tab are not saved even after moving to the next tab 🤯;
3. there is no way to adjust the different size, color and boldness of the text inside one cell;
4. there is no normal export to PDF (each time I output it from a computer);
5. even when all partners use Excel, we transfer to Google Sheets to work together online. I don’t like Google Table, but it’s easier for me to go there than to use two programs for one task 🥺.",Пора обновляться (давно пора),"Мне постоянно мешает работать:
1. не сохраняются настройки на вкладке Вид после закрытия;
2. не сохраняются настройки на вкладке Рисование даже после перехода на следующую вкладку 🤯;
3. нет возможности настроить разный размер, цвет и жирность текста внутри одной ячейки;
4. нет нормального экспорта в PDF (каждый раз вывожу с компьютера);
5. даже, когда все партнёры используют Excel, мы перекидываем в Google Таблицы, чтобы работать вместе онлайн. Мне не нравятся Google Таблица, но мне проще перейти туда, чем пользоваться двумя программами для одной задачи 🥺.",3.00,RU,2.38,2020-07-10T16:02:58,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L-7hgbvLi_HeEP2TjGCxy6Q,ru
黒虎出洞,Macro vba,I want you to use it,マクロ　vba,使えるようにして欲しい,3.00,JP,2.38,2020-07-09T02:51:41,False,False,39903458382,39903458382,"Microsoft Excel",586683407,apple,1,39903458382L_2plhHxvV1Jt2opKQEcbWw,ja
