author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
924800шш,delete,Better put the free .... it's simple.,удаляю,Лучше поставлю бесплатный....   это просто.,1.00,RU,1.4.0,2019-09-13T20:29:43,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LhIc17ztsNejKDPgtr1Pp_A,ru
NDMK2,This is not free for Linux anymore...,"There were 2 options before, free for Linux & Mac OS, and subscription for WIndows. I don't use WIndows so it was very useful, but now it force me to get a subscription. So, goodbye...",This is not free for Linux anymore...,"There were 2 options before, free for Linux & Mac OS, and subscription for WIndows. I don't use WIndows so it was very useful, but now it force me to get a subscription. So, goodbye...",1.00,HK,1.4.0,2019-09-11T10:30:55,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432Lxk3CVv3I2hg2X5lKLKkOlg,en
GH_Tux,Now chargeable for all guest systems,"The latest version 1.4 now also requires a subscription for Linux for € 79 per year.
Based on the experience of the past two years, this is actually not justified for the performance offered. Too often, Parallels Tools don't work and lag behind Linux development. The lite version will also be updated with a lot of delay.
Unfortunately VirtualBox has a poor performance and cannot be installed from the App Store. VMWare Fusion is as expensive as Parallels.",Nun kostenpflichtig für alle Gastsysteme,"Die neueste Version 1.4 erfordert nun auch für Linux ein Abo über 79€ pro Jahr. 
Das ist - gemessen an den Erfahrungen der letzten zwei Jahre - für die gebotene Leistung eigentlich nicht gerechtfertigt. Die Parallels Tools funktionieren dafür viel zu oft nicht und hinken der Linux-Entwicklung hinter. Die Lite Version wird zudem mit viel Verzögerung aktualisiert.
VirtualBox hat leider eine schlechte Performance und kann nicht aus dem App Store installiert werden. VMWare Fusion ist genau so teuer wie Parallels.",2.00,DE,1.4.0,2019-09-10T06:22:32,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LYc8_LP_SnN7Cp5V8OO-fzg,de
샛별777,"This is a permanent version of 120,000 won",What should I do to buy a permanent version other than a one-year automatic update?,이거 영구버전 12만원 이던데,1년 자동갱신 말고 영구버전으로 사려면 어떠케 해야 하나요?,5.00,KR,1.4.0,2019-09-09T08:25:13,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432L1gluRhDOOwsjGspYuBeXSQ,ko
sga773,same old windows problems,"hangs, hangs and hangs. its not a stable platform. one of the worst bought apps.",same old windows problems,"hangs, hangs and hangs. its not a stable platform. one of the worst bought apps.",2.00,IN,1.4.0,2019-09-02T16:37:50,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LI1q2GD-Z4Ny8Gt6fs9i_cQ,en
Oxxiouser,Family share???,"Hi all,
I have a trial version now.. and looks to be working fine. But is this realy a Family sharing app… so what I mean.. if I buy this app for 80 euro each yeat can I use it on different Apple devices which are part of the family app ??
Thxs",Family share???,"Hi all,
I have a trial version now.. and looks to be working fine. But is this realy a Family sharing app… so what I mean.. if I buy this app for 80 euro each yeat can I use it on different Apple devices which are part of the family app ??
Thxs",3.00,NL,1.4.0,2019-08-30T11:40:05,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LTGzHuWBQrsFnZeBm_bs3bA,en
달처럼더기우네,"Automatic payment has been made, but please cancel it.","I haven't used it since the free trial, but I went to pay for it. Before 2 weeks, I confirmed that there was no automatic payment. So I put inquiries several times on the Apple service side and I can't get a refund, so I ask the developer... It's a good service, but I used it because I had to use Windows for a while. Please refund.",자동결제가 되어버렸는데 취소부탁드립니다.,"무료체험 이후에 사용한적이 없는데 유료결제로 넘어갔습니다. 2주 끝나기전에 자동결제가 안된다는 점을 확인했는데 자동 결제가 되었네요? 서 애플 서비스쪽에 여러번 문의 넣었다가 환불이 안돼서 개발자분께도 요청드립니다... 좋은 서비스이긴하나, 잠깐 윈도우를 쓸 일이 있어서 사용했던건데 조금 억울하네요. 환불 부탁드립니다.",4.00,KR,1.4.0,2019-08-30T07:51:50,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LRSamDDvGmBfSTV0GA6pfgg,ko
Katphil13,LOVE THIS APP,Perfect for school projects that require Windows,LOVE THIS APP,Perfect for school projects that require Windows,5.00,US,1.4.0,2019-08-30T04:47:09,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LyiWyABtFk2y0YpGTjSSZhQ,"en;la"
Lion De Mont,Parallels Desktop VS Lite,"It seems that Parallels Desktop is a better choice then the Lite version, but you should try both to figure out for yourself.",Parallels Desktop VS Lite,"It seems that Parallels Desktop is a better choice then the Lite version, but you should try both to figure out for yourself.",3.00,CA,1.4.0,2019-08-30T02:59:56,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LqS1AkxXWd5S9s6TbA1Q3Bw,en
joshspunk,Network connection,Can't connect to the internet with this!!,Network connection,Can't connect to the internet with this!!,1.00,NG,1.4.0,2019-08-29T19:56:31,False,False,231803575432,231803575432,"Parallels Desktop",1085114709,apple,0,231803575432LagfmISFCFNLYTn6e2Lsp2A,en
